Aerzte (Allgemeinmediziner) ambulanter Sektor nach Kanton;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
VD;506;289;294;280;276;277;275;434;438;471;494;493;474;450;468;457;455;445;436;427;413;398
VS;199;123;125;125;122;123;125;177;172;180;179;184;172;168;166;170;172;156;153;144;145;141
GE;386;150;146;147;149;145;142;247;252;287;285;272;235;224;228;220;208;195;184;176;162;150
BE;815;491;486;485;490;497;499;631;627;654;648;641;581;554;558;562;551;540;537;527;527;518
FR;142;85;99;95;100;100;98;127;125;123;120;117;112;109;111;107;105;102;99;94;96;96
SO;193;125;127;132;131;131;126;160;157;164;159;157;158;149;151;154;153;156;152;147;149;148
NE;135;75;72;74;69;67;70;104;109;119;128;129;119;115;118;114;114;111;105;100;103;100
JU;46;34;35;35;35;35;35;43;42;40;41;38;41;39;42;40;42;39;40;38;39;41
BS;206;92;94;88;90;89;91;135;132;135;134;132;118;113;113;113;111;104;104;99;93;90
BL;217;126;127;130;134;134;133;168;162;173;163;167;164;159;161;167;161;156;162;158;158;149
AG;340;224;223;229;224;221;219;284;277;291;282;286;281;265;270;275;278;275;268;265;262;250
ZH;1095;731;732;704;704;691;689;926;909;947;934;913;875;812;855;832;820;771;773;745;741;727
GL;27;21;21;22;23;23;22;29;28;27;27;26;25;25;24;23;23;24;23;24;23;25
SH;65;45;45;46;49;47;46;56;56;57;57;56;55;53;55;55;54;53;52;51;51;47
AR;37;28;28;28;28;28;27;40;41;41;44;45;44;35;34;38;36;39;37;36;32;29
AI;12;8;7;7;7;6;6;6;8;8;8;8;8;7;7;6;6;4;5;5;5;5
SG;317;217;217;205;211;213;214;296;301;306;304;307;300;269;280;273;265;257;260;251;245;235
GR;172;115;111;109;108;109;101;139;136;143;136;139;146;140;144;141;135;135;130;127;123;123
TG;153;107;108;107;112;112;113;138;141;147;147;149;144;132;131;129;131;128;127;123;121;104
LU;242;176;175;169;164;164;168;209;206;206;205;204;203;196;199;198;194;188;190;177;178;173
UR;21;17;17;17;16;15;14;20;19;21;21;22;21;20;20;21;21;22;23;23;22;22
SZ;90;64;67;66;65;66;61;75;73;81;74;72;65;67;67;64;63;60;60;56;54;56
OW;25;19;19;19;21;20;21;23;22;22;20;19;19;18;18;18;18;18;17;18;17;17
NW;22;12;13;12;12;12;14;17;17;17;17;17;16;17;17;17;17;18;18;18;17;17
ZG;81;58;59;55;57;53;55;64;63;60;56;61;53;54;51;52;48;47;46;45;46;45
TI;256;120;121;121;115;113;112;183;180;179;192;192;193;189;193;187;181;168;163;156;159;157
