Aerzte ambulanter Sektor nach Kanton;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
VD;1691;1672;1671;1569;1665;1655;1619;1583;1564;1513;1513;1493;1473;1453;1413;1362;1307;1247;1191;1149;1113;1062
VS;466;459;464;462;504;514;509;498;494;462;465;459;446;440;431;428;426;399;392;368;369;355
GE;1551;1546;1507;1472;1456;1449;1437;1430;1412;1404;1356;1311;1257;1242;1196;1149;1115;1054;1024;970;929;893
BE;2055;2049;2017;1910;2049;2060;2039;2026;1977;1914;1902;1890;1830;1789;1757;1730;1676;1618;1589;1548;1506;1469
FR;381;385;393;380;406;402;392;388;374;354;340;338;337;331;325;320;315;303;292;278;270;267
SO;410;410;411;398;405;408;402;394;391;382;379;370;368;355;340;326;322;322;317;309;318;309
NE;335;337;325;321;358;352;357;354;350;341;342;334;317;317;311;302;290;279;271;261;268;267
JU;103;100;102;103;112;115;111;113;113;101;100;100;101;98;92;88;91;87;87;83;86;86
BS;749;757;741;684;735;725;714;718;693;674;679;679;674;669;671;657;631;614;618;598;544;518
BL;598;598;587;549;534;533;521;516;507;500;484;479;470;455;448;449;429;413;405;372;366;343
AG;958;954;920;877;885;865;855;846;818;779;754;752;735;712;702;697;679;661;639;621;593;539
ZH;3357;3292;3283;3039;3003;3021;2972;2971;2886;2832;2759;2678;2601;2549;2493;2428;2361;2227;2208;2126;2054;1998
GL;57;55;58;53;57;55;58;55;53;48;49;48;47;47;45;43;43;45;46;45;43;43
SH;150;142;142;142;148;148;146;138;139;137;134;136;136;132;127;127;123;120;118;110;111;106
AR;83;85;79;79;96;98;90;91;88;79;81;81;80;76;71;71;67;70;69;68;59;54
AI;16;16;16;16;17;18;18;18;19;16;16;16;15;13;12;11;11;9;10;10;10;10
SG;815;797;788;742;769;757;740;742;738;706;703;688;670;662;637;617;598;582;579;562;544;522
GR;329;327;321;308;332;335;336;335;328;315;308;311;324;316;308;298;292;288;277;268;251;250
TG;357;339;335;315;325;317;309;309;308;289;286;286;282;271;260;255;252;242;238;234;223;202
LU;573;576;563;520;545;534;537;537;513;515;505;488;485;474;470;464;452;443;440;406;409;402
UR;34;35;35;37;43;41;43;44;44;45;44;45;43;42;40;40;40;40;38;37;36;37
SZ;193;189;191;179;188;187;179;175;164;158;153;148;131;134;129;122;116;105;105;100;97;98
OW;41;41;40;39;38;39;39;38;36;35;34;32;32;32;30;30;29;29;27;30;28;27
NW;48;49;50;47;48;45;46;47;47;44;41;39;36;37;33;33;32;31;29;28;29;30
ZG;227;228;230;207;201;195;195;187;179;163;158;163;155;155;148;142;132;129;125;123;115;113
TI;655;649;643;642;669;664;649;646;644;602;593;571;577;556;549;522;498;457;429;416;410;398
