AerztePer100000Einwohner;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
VD;232.9871823;234.8149709;237.1457361;227.8820765;245.5234368;246.488103;243.9980106;241.1139679;241.1622664;236.0956367;238.3146289;237.5493436;236.0909872;234.3952908;228.9;220.8;212.6;204.2;196.1;189.7;186.4;180.7
VS;147.1084973;146.909617;152.1755529;152.377183;169.7409766;175.2447972;175.8039837;173.5512133;174.1951409;165.7327756;168.6218338;168.4255332;164.3064499;162.7537942;160;158.9;158.5;149.7;148.5;141.7;142.7;139.4
GE;336.9190265;337.7588629;332.0787646;330.2018;329.5937124;329.4791773;329.0430275;329.9294459;329.972845;332.5493317;325.6828291;320.5002836;311.0770145;310.0171483;300.3;290.2;281.7;268.5;263.4;250.5;243.6;235.1
BE;208.6874928;209.2022442;205.9775355;197.0827624;211.257368;213.0866218;211.5898084;210.5969999;206.2283679;200.3290672;199.6060352;198.8199144;192.6731558;188.8387735;185.4;282;176.1;170;164.5;160.4;157.3;154.7
FR;133.8975069;138.2877463;143.5155092;141.7159565;153.6999671;154.7493023;153.4474795;154.2308136;150.4963563;144.3825403;140.5992838;142.5354441;143.3121696;142.0924073;140.7;139.9;139.3;135.7;132.9;128.7;127.5;128.3
SO;159.5697067;160.6595663;163.0635313;158.1260082;162.6473364;164.8071998;162.8506149;160.0506963;159.1546487;156.0623269;155.7440373;152.7707242;152.2252603;147.5097855;142.1;136.6;135.9;136.6;135.2;132.6;138.4;136.5
NE;193.5040405;195.8892325;188.629966;188.4599126;210.7183849;207.7836217;210.9193603;210.1114659;208.1214954;203.5176929;204.8652502;201.0933699;190.8534823;191.0144858;187.5;181.8;175.1;169.1;165;159.3;164.3;165.5
JU;146.0330063;142.93065;148.7986696;147.0504254;164.1434497;169.0505241;163.4805149;166.5413922;166.3820013;148.9367977;147.4556527;148.8892859;150.1166748;145.4653407;136.5;130.1;134.3;129;129.6;124.3;128.7;130.5
BS;402.210277;409.4503521;385.6944322;367.6668208;387.2966692;380.9293626;374.732334;375.9536289;363.3637098;353.7240742;355.2964816;356.2247521;350.4083765;343.4009527;340.9;330.5;315.6;305.8;307.6;298.3;279.5;268.8
BL;217.2010126;218.0047101;216.5204754;202.0856416;199.8151523;200.5048358;196.8533688;195.2615028;192.8394564;191.4997108;186.3559707;186.381323;183.9638335;179.22347;177.4;178.5;171.4;165.6;174.1;160.6;158;148.6
AG;154.9793172;156.0519192;154.2296647;148.2197573;152.9051988;151.0339276;150.7330386;150.1432217;146.3628475;140.7651553;137.6598196;139.1445938;136.936279;133.5338842;132.2;131.8;129.2;127.1;124;121.8;117.7;108.5
ZH;241.1592887;239.7994193;240.1577741;227.9917446;227.0112379;231.2102452;229.9453532;231.9308969;227.0633378;225.1328379;222.1381298;219.111282;215.0422065;212.2072888;208.2;203.3;198.8;188.5;187.6;191;176.5;172.7
