Apotheken nach Kanton;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
VD;247;247;247;244;242;240;241;242;242;238;237;235;233;234;236;225;228;227;225;224;222;221
VS;116;113;113;110;110;110;110;108;107;106;104;105;103;103;102;100;100;101;96;96;97;98
GE;173;173;173;173;170;171;170;168;169;166;165;168;164;169;168;160;156;160;159;170;154;154
BE;172;173;174;179;178;187;181;177;175;174;138;172;169;173;174;166;165;165;159;165;165;164
FR;70;70;70;70;69;65;64;63;67;68;68;73;71;71;71;68;69;68;67;67;67;68
SO;28;27;27;26;26;26;26;27;26;27;28;28;28;28;27;27;27;27;23;23;24;24
NE;57;58;59;57;57;57;57;55;55;55;54;54;54;54;55;52;52;53;50;50;51;51
JU;20;20;20;20;19;19;19;19;19;18;17;17;17;17;18;16;16;16;16;16;16;16
BS;75;73;72;70;69;69;70;70;69;69;72;70;70;70;69;67;67;67;67;68;65;65
BL;43;42;42;42;41;40;39;36;36;36;36;36;36;36;36;35;37;37;36;34;31;31
AG;115;115;115;113;111;109;109;110;108;107;109;108;107;107;106;101;103;102;97;97;96;96
ZH;226;224;226;224;226;221;218;217;219;222;227;224;224;225;226;209;213;213;210;210;214;214
GL;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;4;4
SH;13;13;13;13;13;13;48;13;13;13;13;14;14;14;14;13;11;13;13;13;13;13
AR;6;6;6;6;6;6;5;5;5;5;5;5;4;4;5;4;4;4;4;4;4;4
AI;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
SG;51;51;51;51;49;49;13;48;48;46;48;49;48;48;49;48;47;48;46;47;48;49
GR;43;42;41;41;40;39;37;37;36;37;37;36;36;36;36;34;34;34;34;34;34;34
TG;25;25;25;26;23;23;22;20;21;23;23;23;23;23;22;23;23;22;18;17;18;18
LU;34;34;34;33;33;34;32;32;33;34;34;35;33;33;33;30;30;30;30;31;33;33
UR;3;3;3;4;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3
SZ;12;12;12;12;12;12;12;12;11;11;11;11;11;11;11;11;11;11;10;10;10;8
OW;3;3;3;3;4;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2
NW;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
ZG;13;14;14;14;13;13;14;14;12;13;13;13;13;13;13;14;14;14;14;15;14;14
TI;192;189;186;185;182;178;175;173;172;172;172;172;171;171;169;165;167;168;159;160;149;149
