Zahnärzte ambulanter Sektor nach Kanton;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
VD;350;354;347;347;339;338;332;337;335;324;319;334;329;327;331;337;334;336;329;333;331;334
VS;130;128;127;126;119;113;115;110;108;105;102;105;109;109;110;103;101;97;91;99;97;94
GE;259;266;263;259;268;265;263;265;266;260;256;238;244;240;250;254;262;254;241;257;238;250
BE;534;534;531;530;519;510;500;500;489;482;466;512;492;513;529;499;497;501;458;478;438;475
FR;105;104;103;102;103;99;96;92;91;86;82;85;83;83;86;83;86;86;85;85;84;85
SO;116;116;110;112;110;107;106;104;105;100;97;105;106;106;107;105;102;98;99;97;95;94
NE;90;89;86;81;81;79;80;79;79;77;76;80;80;80;80;78;77;77;71;77;76;73
JU;17;18;18;18;17;17;18;17;18;17;17;17;18;18;18;20;20;21;20;21;21;19
BS;156;156;154;157;154;146;145;143;140;136;134;152;157;157;159;154;156;161;156;154;154;148
BL;139;142;138;137;136;132;129;125;128;127;127;127;126;126;122;113;112;118;117;112;103;101
AG;291;282;270;262;250;228;226;209;209;204;201;209;209;207;208;204;207;210;201;201;196;196
ZH;779;776;763;761;755;752;727;697;679;658;643;651;657;657;686;664;682;690;663;671;663;652
GL;14;14;13;15;15;15;16;14;14;14;14;14;14;14;15;15;14;15;15;14;13;13
SH;32;36;30;33;34;33;34;35;33;32;32;29;31;31;31;28;28;28;31;31;30;31
AR;97;97;95;97;95;96;94;95;90;85;85;22;22;22;22;17;15;13;6;7;6;6
AI;6;6;6;6;6;5;5;5;4;4;3;6;6;6;5;6;6;6;6;6;6;6
SG;243;236;229;217;218;212;209;197;183;175;173;170;165;173;174;167;169;169;155;157;151;149
GR;89;90;88;86;82;81;80;79;76;75;72;76;77;77;86;81;79;79;73;74;72;69
TG;92;88;88;87;85;83;80;78;70;67;66;62;59;59;60;64;64;65;56;60;59;60
LU;190;194;191;187;181;178;171;168;163;160;158;157;152;152;162;157;155;157;149;150;147;148
UR;12;12;12;12;12;12;11;12;9;9;9;9;9;9;10;13;13;13;10;11;11;11
SZ;69;68;70;64;66;66;60;57;57;57;56;53;51;51;52;48;48;47;48;46;44;43
OW;14;14;14;14;14;14;12;12;10;10;9;11;12;12;14;13;13;12;12;12;13;12
NW;20;18;19;18;19;20;18;17;16;16;16;18;18;18;18;17;18;15;13;13;13;13
ZG;62;60;59;57;55;55;51;47;46;45;45;47;46;46;40;49;48;48;49;48;42;42
TI;217;211;206;202;198;191;186;185;180;176;174;179;177;177;174;171;168;163;155;154;150;144
